type,left,right,similarity,decision,guard_reason
Company,Aeris Communications,Aeris,0.7388351559638977,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Aeris Communications,ServiceNow,0.2853355407714844,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Aeris Communications,Strategic Missions and Technologies,0.23866577446460724,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Aeris Communications,the company,0.23265449702739716,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Ericsson,Aeris,0.3251858353614807,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Ericsson,the company,0.3187757730484009,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Ericsson,OpenAI,0.2692145109176636,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Ericsson,ServiceNow,0.25982239842414856,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,ServiceNow,Google Cloud,0.3741198778152466,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,ServiceNow,the company,0.3738930821418762,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,ServiceNow,OpenAI,0.3383898138999939,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,ServiceNow,Google,0.314240038394928,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,NVIDIA,OpenAI,0.34024372696876526,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,NVIDIA,Google Cloud,0.3255714178085327,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,NVIDIA,the company,0.250259131193161,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,NVIDIA,Google,0.23858478665351868,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Aeris,the company,0.3069792687892914,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Google,Google Cloud,0.5455011129379272,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Google,the company,0.40321582555770874,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Google,Meta,0.3856492340564728,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Meta,Snowflake,0.46959006786346436,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Meta,the company,0.2873309254646301,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,OpenAI,H2O.ai,0.30086401104927063,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,OpenAI,Google Cloud,0.2726008892059326,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,H2O.ai,the company,0.26598840951919556,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Snowflake,the company,0.2095818966627121,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Company,Strategic Missions and Technologies,the company,0.2277158498764038,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,artificial intelligence,H2O AI Cloud,0.3722279369831085,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,artificial intelligence,chips,0.25044915080070496,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,artificial intelligence,chip-stacking tech,0.2200753092765808,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,artificial intelligence,Code Llama,0.20485597848892212,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Llama 2,Code Llama,0.7835339307785034,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Llama 2,Falcon LLM,0.47090545296669006,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Llama 2,H2O AI Cloud,0.21303510665893555,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Llama 2,chips,0.1909986138343811,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Code Llama,Falcon LLM,0.45686599612236023,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Code Llama,chips,0.16414836049079895,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Falcon LLM,chips,0.33089345693588257,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Falcon LLM,chip-stacking tech,0.18721410632133484,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,chips,chip-stacking tech,0.46974027156829834,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,H2O AI Cloud,Manufacturing Data Cloud,0.40379083156585693,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,H2O AI Cloud,chip-stacking tech,0.2024092674255371,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
Technology,Manufacturing Data Cloud,chip-stacking tech,0.29900413751602173,REJECT_BELOW_THRESHOLD,COSINE_LT_0.90
