id,name,type,degree
1a324b330bd048e7308e53f0,artificial intelligence,Technology,3
909fcd9c188c8c2429afa468,Google Cloud,Company,3
02f50203f5a967ac3ebb42be,Ericsson,Company,2
b823fb02e58a12bdc4c38934,NVIDIA,Company,2
773eeb9b7cc008bff365fcdd,OpenAI,Company,1
879eef50f3e2d235cccb1790,Snowflake,Company,1
0ecbd5177fafb6f25a33707e,Aeris Communications,Company,1
bbec5af77f9d18669e926e3c,Strategic Missions and Technologies,Company,1
6dbfdfc5a4e8df3668a4dac3,Meta,Company,1
cc9c6ee3857729e221d3f6de,ServiceNow,Company,1
ce0b6a8e50a6a58526e4c85f,Aeris,Company,1
484f3c9dd94fc58f2b43919b,Bill Chappell,Person,1
1fb6f1337f1c2305d3c6fefe,H2O.ai,Company,1
2ee142c84a52210f0a8e6ada,Manufacturing Data Cloud,Technology,1
0e132222d1315530d6efca52,Google,Company,1
